video_url,video_title,author,comment
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@PoojaMishra-rg3qp,"Harsh being ""HARSH"" to his audience 
...."
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@yogeshkumar6085,U r right
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@aaradhyagupta07,
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@VivekKumar-xj7jw,"Aapne kabhi front camera khola hai
Bhai usko gurde jal gye honge"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@jugajyotisingh2859,"Iska meaning Thoda samajh nhi Aya 
 Kya explain kr sakete ho Thoda plz"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@ordinary_13,@jugajyotisingh2859 Bruh ye mtlb h ki ladki ka face acha nahi h or baat good looking kr kar rahi h
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@YuvrajSingh-mg5gs,Fr
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@Ari-xb8eu,@jugajyotisingh2859  phone pa front cam sa kya karta hain beta
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@parthjalandhra6434,Bhai russian pe  hi bna le video
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@SherozGaming54,"Future ∝  (Hard Work + Smart Work) ∝  (Interest + Intelligence) ∝ Brain
Tell This Everyone"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@jugajyotisingh2859,"@ordinary_13  
 thanks"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@justmebruh483,@SherozGaming54  guruji kaha thee aap
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@PropertypanditKushMishra,वास्तविक जीवन की वास्तविक कॉमेडी है शानदार कॉमेडी.... इंजीनियरिंग की वास्तविक स्थितियों के साथ
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@vaibhavpandit2164,Best ever stand up of harsh gujral
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@nehasiby1450,"Harsh and bassi are like chai and parle-g biscuit 
They go good together 
 4:54"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@HonestFeedback-gy8hu,"ya right saste, tasteless and boring"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@TheAkbar27,"Flight Attendent ka to jahaj 
️ hi bana diya
  Complete fun ride for 16 mins &16 secs"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@paras.solanki.,"Ha whi
...mja aagya cool bn rhi thi jyada"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@parthshukla4377,1+6=7 thala for reason
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@MegaRadhamadhav,Set up ...hota hai ...paid audience ....
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@kartiksahrawatIITb2024,bhaii vo toh jahaj bnn gyi pr tuu suicide bomb mat bnn jaaio
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@SherozGaming54,"Future ∝  (Hard Work + Smart Work) ∝  (Interest + Intelligence) ∝ Brain
Tell This Everyone"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@kartiksahrawatIITb2024,@SherozGaming54  why?
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@mdfaisal4227,@kartiksahrawatIITb2024
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@saurabhbutolauttarakhand4975,"ये students k liye ek फ्रेशमेंट h 
 mjaa aa gya"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@RabadaSujitRao,Tomorrow is my college  exam..And i  watching this For stress free.... super bro
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@Zydres_Impaler,"Same here bro, Automata externals"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@Hrishikesh.35,"Aapne kabhi front camera khola haiii 
 THIS LINE BHAAIIII"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@subhammarak,That was personal
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@SamHemsworth,Bhai iska mtlb kya hota h
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@StopLooking_Here,@SamHemsworth  Matlab dusro ko badsurat  bolne se pehle khudki shakal dheklo. (He was implying the girl was not attractive either)
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@SamHemsworth,@StopLooking_Here  thnx dude
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@crystalstudys1579,Mai to nahi suntii
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@MrTheshishir,@crystalstudys1579 suna na fir bhi!
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@Hrishikesh.35,@crystalstudys1579  Harsh Bhai has no filter
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@suryanshsingh3056,Bhai ne kehke le li
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@all-rounderencyclopedia6972,Aapne kabhi front camera khola hai ? Was littttt
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@garvpandey3339,iska matlab kya tha
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@sumanmondal8819,@garvpandey3339  matlab khud ka sakal dekhi hai. Yea bolna cha rahe
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@Vanshyadav36466,0:14 0:15 0:16 0:16 0:16
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@nirmalsudan,Fantastic-Original and not like others who just keep asking the audience questions
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@mayank3087,"You have come a long way bro !!! Keep it up , loved it"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@SiddhiJain1005,the similarity between Vicky kaushal and harsh is both of them are engineers and can understand the pain
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@trivenijadhav3678,Bassi ne law ki hai bhai
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@shreenathsalat2752,Abey ghanta similar Vicky k pass Katrina Kaif he.
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@parthbhoraskar7690,4:41 bro killed it
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@TheRana48,"This is called actual real stand-up comedy,no any abusive words, on any jokes on his audience, no disrespectful any public. The video is full of joy"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@Siddharth_rauthanofficial,"I think you didn't paid attention, he was disrespectful to the audience like many comedians, asking people what company do they work for, then making fun of them by every way possible. This is sick"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@johnnypatrick.t6521,Wow! one of the best stand up comics i really enjoyed
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@vedantm0809,"1:00 
️‍
 Dil Jeet Liya Bhai Ne"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@arnavkumar2933,tru
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@MOHIT_RAJPUTT,"11:20 Miss Harsh gujral daughter of Babli lal Gujral 
Whole 16 mins were on different trip 
Harsh Gujral"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@samriddhidubey311,"Congratulations for your first tv show
I’m watching it just because of you 
️
️"
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@sakshisharma-qf5cb,Earthquake aaya hai ...uper he bulale Bhai ..was epic
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@aayushkalra4933,I thought ‘full conversation’ of the ‘front camera’ would be shown but the entire show went everywhere else. But amazing
https://www.youtube.com/watch?v=havARbP7Fyk,B.Tech - Stand up Comedy By Harsh Gujral - YouTube,@as9499,There was only a single reference to that later on
